,last
2390,25101
2391,25097
2392,25097
2393,25096
2394,25098
2395,25096
2396,25095
2397,25097
2398,25096
2399,25091
2400,25089
2401,25088
2402,25085
2403,25086
2404,25084
2405,25091
2406,25094
2407,25093
2408,25086
2409,25084
2410,25086
2411,25080
2412,25077
2413,25075
2414,25073
2415,25075
2416,25075
2417,25079
2418,25081
2419,25077
2420,25081
2421,25084
2422,25086
2423,25086
2424,25087
2425,25091
2426,25090
2427,25091
2428,25091
2429,24637
2430,25092
2431,25091
2432,25090
2433,25091
2434,25095
2435,25095
2436,25096
2437,25097
2438,25097
2439,25099
2440,25102
2441,25102
2442,25097
2443,25101
2444,25100
2445,25099
2446,25098
2447,25099
2448,25104
2449,25106
2450,25108
2451,25104
2452,25104
2453,25109
2454,25105
2455,25102
2456,25097
2457,25097
2458,25095
2459,25099
2460,25093
2461,25098
2462,25099
2463,25092
2464,25093
2465,25093
2466,25093
2467,25093
2468,25090
2469,25089
2470,25088
2471,25088
2472,25084
2473,25089
2474,25086
2475,25088
2476,25091
2477,25091
2478,25092
2479,25089
2480,25085
2481,25085
2482,25084
2483,25090
2484,25090
2485,25090
2486,25090
2487,25087
2488,25086
2489,25090
2490,25088
2491,25086
2492,25090
2493,25091
2494,25093
2495,25096
2496,25089
